send_time          ,time_process          ,image_count ,time_received
1733409590.4408998 , 0.013889789581298828 ,      158.0 ,1733409590.519947
1733409590.4773965 , 0.014889955520629883 ,      159.0 ,1733409590.519947
1733409590.5440338 , 0.014352083206176758 ,      161.0 ,1733409590.593982
1733409590.5804234 , 0.015135765075683594 ,      162.0 ,1733409590.593982
1733409590.6123633 , 0.015506505966186523 ,      163.0 ,1733409590.668739
1733409590.6475506 , 0.019264936447143555 ,      164.0 ,1733409590.668739
1733409590.683196  , 0.015142440795898438 ,      165.0 ,1733409590.738553
1733409590.7141948 , 0.014635801315307617 ,      166.0 ,1733409590.738553
1733409590.7466803 , 0.015691518783569336 ,      167.0 ,1733409590.798366
1733409590.777103  , 0.014606714248657227 ,      168.0 ,1733409590.798366
1733409590.815092  , 0.015183448791503906 ,      169.0 ,1733409590.859752
1733409590.93263   , 0.01750946044921875  ,      170.0 ,1733409590.9389539
1733409592.1420074 , 0.015034675598144531 ,      171.0 ,1733409592.284477
1733409592.953818  , 0.013321638107299805 ,      172.0 ,1733409593.206506
1733409593.8655753 , 0.013250350952148438 ,      173.0 ,1733409593.86737
1733409594.9842198 , 0.013094902038574219 ,      174.0 ,1733409595.04927
1733409595.0883877 , 0.021585702896118164 ,      175.0 ,1733409595.127351
1733409595.15049   , 0.017103195190429688 ,      176.0 ,1733409595.1890528
1733409595.2098908 , 0.017281293869018555 ,      177.0 ,1733409595.24909
1733409595.2498395 , 0.016693592071533203 ,      178.0 ,1733409595.3187149
1733409595.2896018 , 0.016166210174560547 ,      179.0 ,1733409595.3187149
1733409595.3277714 , 0.016349077224731445 ,      180.0 ,1733409595.379122
1733409595.363011  , 0.015389680862426758 ,      181.0 ,1733409595.379122
1733409595.3977208 , 0.014965057373046875 ,      182.0 ,1733409595.4434922
1733409595.437335  , 0.015119314193725586 ,      183.0 ,1733409595.4434922
1733409595.4749753 , 0.018898487091064453 ,      184.0 ,1733409595.508615
1733409595.5115638 , 0.015352725982666016 ,      185.0 ,1733409595.568609
1733409595.5425174 , 0.014872074127197266 ,      186.0 ,1733409595.568609
1733409595.5835593 , 0.014888525009155273 ,      187.0 ,1733409595.637662
1733409595.6149893 , 0.014833211898803711 ,      188.0 ,1733409595.637662
1733409595.6573071 , 0.01787877082824707  ,      189.0 ,1733409595.701527
1733409595.6951847 , 0.014450550079345703 ,      190.0 ,1733409595.701527
1733409595.7312841 , 0.015002012252807617 ,      191.0 ,1733409595.7672079
1733409595.7703946 , 0.016036272048950195 ,      192.0 ,1733409595.8301172
1733409595.809889  , 0.016828536987304688 ,      193.0 ,1733409595.8301172
1733409595.8441432 , 0.015800952911376953 ,      194.0 ,1733409595.8986292
1733409595.876837  , 0.01401662826538086  ,      195.0 ,1733409595.8986292
1733409595.9125588 , 0.015846967697143555 ,      196.0 ,1733409595.958365
1733409595.9437351 , 0.013998031616210938 ,      197.0 ,1733409595.958365
1733409595.9761953 , 0.01460409164428711  ,      198.0 ,1733409596.037479
1733409596.0115714 , 0.014894247055053711 ,      199.0 ,1733409596.037479
1733409596.0443609 , 0.01519012451171875  ,      200.0 ,1733409596.099655
1733409596.0785625 , 0.01422429084777832  ,      201.0 ,1733409596.099655
1733409596.113108  , 0.017154932022094727 ,      202.0 ,1733409596.177603
1733409596.1502383 , 0.014960050582885742 ,      203.0 ,1733409596.177603
1733409596.1874447 , 0.01547098159790039  ,      204.0 ,1733409596.247638
1733409596.2345378 , 0.028391122817993164 ,      205.0 ,1733409596.247638
1733409596.2823622 , 0.028988361358642578 ,      206.0 ,1733409596.308319
1733409596.3196614 , 0.015407085418701172 ,      207.0 ,1733409596.368476
1733409596.3496213 , 0.013637542724609375 ,      208.0 ,1733409596.368476
1733409596.3842297 , 0.015009164810180664 ,      209.0 ,1733409596.459826
1733409596.4145286 , 0.013522624969482422 ,      210.0 ,1733409596.459826
1733409596.448808  , 0.013916254043579102 ,      211.0 ,1733409596.459826
1733409596.4801836 , 0.013559579849243164 ,      212.0 ,1733409596.528683
1733409596.5149853 , 0.014687299728393555 ,      213.0 ,1733409596.528683
1733409596.546583  , 0.013987541198730469 ,      214.0 ,1733409596.589142
1733409596.5839648 , 0.01701045036315918  ,      215.0 ,1733409596.589142
1733409596.614662  , 0.014400959014892578 ,      216.0 ,1733409596.660277
1733409596.6506915 , 0.018827199935913086 ,      217.0 ,1733409596.660277
1733409596.6786382 , 0.014409780502319336 ,      218.0 ,1733409596.753958
1733409596.710707  , 0.01408696174621582  ,      219.0 ,1733409596.753958
1733409596.7430832 , 0.014697790145874023 ,      220.0 ,1733409596.753958
1733409596.7768269 , 0.014236688613891602 ,      221.0 ,1733409596.816826
1733409596.8123856 , 0.017629146575927734 ,      222.0 ,1733409596.816826
1733409596.8506184 , 0.014268159866333008 ,      223.0 ,1733409596.889384
